calc_score,humidity,cloud_cover,visibility,user_score,lat,long,date_time,image_url
6.352,58.38,0.0,16.0,,44.439255,-83.622645,2019-06-29 21:44:09,https://live.staticflickr.com/65535/48400052692_6a65314040_b.jpg
4.091,57.15,0.0,10.0,,36.738007,24.427134,2018-06-03 18:38:10,https://live.staticflickr.com/1786/43133728831_4be1e6a6a1_b.jpg
1.573,57.15,0.0,10.0,,25.331071,-80.999493,2012-12-25 22:46:56,https://live.staticflickr.com/8491/8319374018_1163dc079a_b.jpg
6.23,34.14,38.8,16.0,,32.975278,-97.057036,2008-07-04 20:25:02,https://live.staticflickr.com/3010/2638288417_224c241d73_b.jpg
7.098,65.46,11.1,42.5,,50.406274,-5.117139,2008-06-15 21:24:37,https://live.staticflickr.com/1321/5161864531_5b2d11d4d4_b.jpg
3.613,75.95,39.8,76.1,,49.907650,-97.206189,2014-01-15 18:01:03,https://live.staticflickr.com/2848/12063659884_ed139a5b9a_b.jpg
2.209,57.57,30.0,11.0,,36.780239,27.135589,2009-07-13 19:57:48,https://live.staticflickr.com/2542/3738497784_d6eaaac8c3_b.jpg
6.921,65.04,0.0,16.0,,47.727572,-122.638015,2008-05-04 20:12:26,https://live.staticflickr.com/2394/2470388968_b05ce76453_b.jpg
5.162,74.55,21.0,15.1,,37.623885,-7.767333,2019-11-13 18:24:34,https://live.staticflickr.com/65535/49066369412_0517207042_b.jpg
6.974,48.03,0.0,10.0,,37.200697,-6.174874,2015-01-04 18:14:26,https://live.staticflickr.com/7529/16207808132_3e4268aa42_b.jpg
4.58,71.27,14.2,16.0,,29.701809,-95.019337,2014-01-12 07:36:49,https://live.staticflickr.com/2812/11907054616_77c1cbf1e9_b.jpg
2.363,69.16,27.7,9.0,,23.114875,-82.437584,2013-12-26 17:49:03,https://live.staticflickr.com/3674/11632080243_3da7cf0f78_b.jpg
3.436,65.66,61.9,10.0,,47.831754,12.967793,2020-06-05 21:14:32,https://live.staticflickr.com/65535/49980449013_dbf946601d_b.jpg
4.306,89.22,27.6,8.1,,8.238737,98.448057,2018-02-02 06:24:22,https://live.staticflickr.com/4619/39172209015_12ba590e90_b.jpg
5.931,75.42,90.0,9.0,,5.351299,100.313673,2010-11-05 10:14:30,https://live.staticflickr.com/4058/5147666754_5ae18b682d_b.jpg
5.071,34.07,0.0,16.0,,32.841250,-117.281750,2015-04-17 03:04:15,https://live.staticflickr.com/286/18142797503_4258afc2d7_b.jpg
3.857,96.11,66.8,13.9,,53.252833,-1.780500,2011-11-18 17:33:51,https://live.staticflickr.com/6042/6358838531_abcb606171_b.jpg
0.799,76.2,0.0,14.2,,50.442966,30.588104,2015-07-28 20:54:20,https://live.staticflickr.com/568/22077110942_f6784176b5_b.jpg
3.971,73.57,0.0,47.5,,48.718602,-3.820238,2020-07-11 22:17:49,https://live.staticflickr.com/65535/50195042017_a9fdc2512f_b.jpg
0.054,76.85,68.3,7.4,,43.554688,142.445213,2018-02-08 15:47:21,https://live.staticflickr.com/4891/45228609744_7eca4b9b78_b.jpg
1.698,64.73,55.9,10.0,,37.143419,25.233621,2015-08-14 17:00:52,https://live.staticflickr.com/5653/21123540672_9621ecb87b_b.jpg
7.886,66.02,40.9,27.8,,57.680660,-4.038805,2013-09-26 18:27:57,https://live.staticflickr.com/7382/9961487175_540f3e9886_b.jpg
2.506,56.66,79.7,9.6,,40.717826,13.896074,2011-09-19 19:03:48,https://live.staticflickr.com/7069/7098401771_0b10e86b6b_b.jpg
5.928,43.88,0.0,14.6,,32.798611,-117.258324,2006-10-26 08:50:58,https://live.staticflickr.com/1232/593380818_a10571c5a8_b.jpg
2.087,81.86,90.4,16.1,,55.976961,-3.169448,2017-10-30 17:30:33,https://live.staticflickr.com/4568/26532028179_f82fed9129_b.jpg
0.346,79.01,0.0,6.2,,25.295748,51.539622,2010-07-10 20:05:35,https://live.staticflickr.com/4074/4779891379_36cbd7f9f9_b.jpg
6.998,77.18,5.0,34.8,,54.807666,-4.179514,2012-09-11 19:40:40,https://live.staticflickr.com/8301/7983825384_093d34f682_b.jpg
3.023,85.51,56.0,13.3,,52.329659,1.078947,2013-06-11 21:11:24,https://live.staticflickr.com/2921/14095850798_9debc1a642_b.jpg
3.804,88.15,49.5,16.0,,37.633227,-122.477549,2009-12-02 17:41:06,https://live.staticflickr.com/2653/4154104553_56e5db4d2b_b.jpg
1.743,83.7,55.0,10.0,,-8.706217,115.437881,2013-05-30 19:45:54,https://live.staticflickr.com/3831/8923562675_2d8ac987d5_b.jpg
1.674,75.68,8.8,12.3,,57.255280,-5.940513,2012-08-20 11:24:15,https://live.staticflickr.com/8530/8684053704_687f4a4cfd_b.jpg
6.77,77.01,5.8,23.3,,51.644227,-4.100648,2013-05-17 20:21:14,https://live.staticflickr.com/8273/8806739285_b184cd81ce_b.jpg
7.372,70.32,40.0,10.0,,24.307053,120.514526,2007-07-08 19:08:43,https://live.staticflickr.com/3158/3102663032_9ea51ebf04_b.jpg
6.13,94.22,98.7,4.0,,45.655047,13.791305,2016-01-10 09:35:18,https://live.staticflickr.com/1618/23992429290_64dc54411c_b.jpg
2.242,63.54,7.4,19.7,,42.478680,11.190261,2014-08-21 19:56:01,https://live.staticflickr.com/3920/15255315692_6b8bc7ac3f_b.jpg
6.322,62.84,22.5,7.3,,22.466827,114.094186,2020-12-24 15:41:24,https://live.staticflickr.com/65535/51146593634_11a39aaff0_b.jpg
4.378,51.48,0.0,16.0,,37.720219,-119.572470,2010-06-22 04:58:14,https://live.staticflickr.com/4150/5020086695_fd55a652fd_b.jpg
0.615,44.22,17.9,16.0,,40.702663,-73.996842,2016-05-09 01:37:19,https://live.staticflickr.com/65535/30168616622_28ea9e6139_b.jpg
7.85,48.87,89.1,10.0,,-22.971739,-42.031288,2013-10-08 17:46:44,https://live.staticflickr.com/3701/10163670286_806163cbec_b.jpg
1.079,71.55,54.7,24.0,,45.255328,-75.766417,2008-06-20 21:07:37,https://live.staticflickr.com/3076/2597229280_971086f4f8_b.jpg
3.223,63.78,10.3,28.9,,56.580430,8.565902,2009-06-27 10:39:54,https://live.staticflickr.com/2521/3809501324_57a72ae84a_b.jpg
4.492,25.78,0.0,14.0,,49.914314,-119.484901,2015-06-27 19:52:45,https://live.staticflickr.com/7695/27009419786_50282cb16e_b.jpg
7.055,25.78,0.0,14.0,,40.334391,-111.682680,2014-03-12 23:36:36,https://live.staticflickr.com/7378/13336719955_a04765bf6b_b.jpg
